,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,29日主力净流入-总净额(亿),29日涨跌幅(%),29日平均涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
26,煤炭行业,601898,中煤能源,1506.18416224,1039.66724544,9.47,0.97,1.29,9.57,0.21,8.71,-6.73
27,物流行业,601156,东航物流,216.54257784,128.84283384,9.93,1.23,2.32,7.65,0.25,9.82,-17.73
28,玻璃玻纤,600660,福耀玻璃,1484.94406971,1139.69922291,18.29,4.35,1.39,-2.24,-0.07,7.77,-6.11
29,珠宝首饰,600612,老凤祥,263.91291194,159.98180834,10.76,2.16,2.66,-4.95,-0.06,1.49,-7.04
30,生物制品,688278,特宝生物,301.92696,301.92696,41.44,12.09,3.76,0.97,-0.05,-4.03,2.02
31,生物制品,403,派林生物,170.31121157,168.57525565,47.79,2.2,1.24,6.57,0.27,-2.71,12.14
32,电力行业,600674,川投能源,793.5859916,793.5859916,13.42,1.91,1.64,-3.12,-0.15,-2.34,-5.62
33,电力行业,600905,三峡能源,1246.42154619,1246.42154619,12.73,1.4,1.02,1.41,0.03,1.87,-0.23
34,电力行业,600795,国电电力,847.1919064,847.1919064,11.7,1.51,1.86,6.05,0.21,6.03,6.26
35,电力行业,600863,内蒙华电,280.65617587,280.65617587,9.43,1.63,1.47,5.67,0.21,6.97,-0.69
36,电池,2850,科达利,296.75480531,213.56889691,19.15,2.57,1.47,-4.51,-0.06,-4.35,13.4
37,电池,300014,亿纬锂能,926.71183814,843.22989464,21.04,2.48,6.98,0.07,0.02,12.16,-2.03
38,电网设备,301310,鑫宏业,54.33443459,19.83621567,39.45,2.4,1.08,9.02,0.33,38.88,58.3
39,纺织服装,600398,海澜之家,348.68112349,348.68112349,9.32,2.04,2.24,-1.1,0.12,-13.26,-0.82
40,美容护理,603605,珀莱雅,326.11181266,325.4184187,20.89,6.18,3.25,-6.3,-0.19,5.42,-1.46
41,航运港口,601872,招商轮船,496.58411787,496.58411787,14.34,1.26,4.2,4.6,0.16,7.33,-1.6
42,证券,2673,西部证券,358.90741091,329.96832702,30.83,1.25,1.98,9.84,0.37,9.55,-0.37
43,证券,601377,兴业证券,549.2487919,549.2487919,26.59,1.0,3.14,9.43,0.38,10.03,1.6
44,通信设备,63,中兴通讯,1590.52534993,1339.10175858,16.21,2.2,2.41,7.49,0.26,5.46,-16.42
45,酿酒行业,568,泸州老窖,1749.56155647,1746.48265457,9.52,3.49,1.63,3.21,0.07,-8.72,-4.02
46,采掘行业,600968,海油发展,426.93437636,426.93437636,17.97,1.62,1.39,4.52,0.14,10.24,1.45
47,铁路公路,1965,招商公路,814.34828484,814.34828484,15.32,1.21,1.65,-6.06,-0.2,-8.29,-14.41
48,铁路公路,900,现代投资,68.45405786,68.45101361,9.71,0.63,1.04,8.89,0.4,21.24,5.87
49,银行,601009,南京银行,1425.86173162,1425.86173162,5.84,0.84,7.91,2.66,0.1,14.04,11.96
50,银行,600926,杭州银行,1251.90274004,1251.90274004,5.2,1.0,2.22,1.96,0.11,18.69,18.21
51,银行,601077,渝农商行,858.5892,668.1301392,5.73,0.68,5.95,-3.67,0.12,19.06,31.48
52,银行,2966,苏州银行,409.51264021,402.02859713,6.59,0.86,2.36,5.22,0.23,20.05,15.8
53,银行,601825,沪农商行,961.55111117,928.86338582,6.74,0.78,4.02,2.9,0.47,20.41,19.83
54,食品饮料,603345,安井食品,253.46623279,223.05026344,16.06,1.94,1.25,-9.05,-0.27,-3.4,-4.36
55,食品饮料,600887,伊利股份,1738.20911129,1729.57188733,8.92,3.43,4.05,-5.66,-0.17,-2.41,-5.11
